sigma,norm_zh0,q_logit,q_prob,correct
0.15,15.999988555908203,-10.25,3.535625000949949e-05,False
0.15,15.999991416931152,-9.25,9.610241977497935e-05,False
0.15,15.99998950958252,-8.5625,0.000191104321856983,False
0.15,15.999985694885254,-10.25,3.535625000949949e-05,False
0.15,15.999987602233887,-10.0625,4.2647468944778666e-05,False
0.15,15.999988555908203,-8.4375,0.00021654405281879008,False
0.15,15.999983787536621,-6.65625,0.0012843081494793296,False
0.15,15.999992370605469,-9.5,7.484622619813308e-05,False
0.15,15.99998950958252,-9.8125,5.475977377500385e-05,False
0.15,15.999992370605469,-9.5625,7.031184941297397e-05,False
0.15,15.999990463256836,-8.8125,0.00014883848780300468,False
0.15,15.999985694885254,-10.625,2.4300241420860402e-05,False
0.15,15.999985694885254,-10.75,2.1444948288262822e-05,False
0.15,15.999990463256836,-8.875,0.00013982206291984767,False
0.15,15.999985694885254,-7.90625,0.00036829791497439146,False
0.15,15.999987602233887,-7.25,0.0007096704212017357,False
0.15,15.999990463256836,-9.625,6.60521473037079e-05,False
0.15,15.999990463256836,-9.125,0.00010889690747717395,False
0.15,15.999988555908203,-7.84375,0.0003920417802873999,False
0.15,15.99998664855957,-10.375,3.1201914680423215e-05,False
0.15,15.999985694885254,-10.6875,2.2827996872365475e-05,False
0.15,15.999990463256836,-8.875,0.00013982206291984767,False
0.15,15.999996185302734,6.6875,0.9987550973892212,True
0.15,15.99998950958252,-9.1875,0.00010229986219201237,False
0.15,15.999990463256836,-9.5625,7.031184941297397e-05,False
0.15,15.99998950958252,-8.9375,0.00013135180051904172,False
0.15,15.99998950958252,-8.625,0.00017952796770259738,False
0.15,15.999985694885254,-10.6875,2.2827996872365475e-05,False
0.15,15.999987602233887,-10.875,1.892514956125524e-05,False
0.15,15.999990463256836,-9.125,0.00010889690747717395,False
0.15,15.99998664855957,-8.9375,0.00013135180051904172,False
0.15,15.999993324279785,-10.0625,4.2647468944778666e-05,False
0.15,15.999990463256836,-9.75,5.829126530443318e-05,False
0.15,15.999990463256836,-8.9375,0.00013135180051904172,False
0.15,15.999988555908203,-8.6875,0.0001686527393758297,False
0.15,15.999988555908203,-10.625,2.4300241420860402e-05,False
0.15,15.999987602233887,-10.8125,2.014569145103451e-05,False
0.15,15.99998950958252,-8.5,0.00020342698553577065,False
0.15,15.999982833862305,-7.0625,0.0008559006964787841,False
0.15,15.999984741210938,-3.75,0.022977370768785477,False
0.15,15.999990463256836,-10.1875,3.7636447814293206e-05,False
0.15,15.999990463256836,-9.0,0.00012339458044152707,False
0.15,15.999990463256836,-8.625,0.00017952796770259738,False
0.15,15.99998664855957,-10.5625,2.586742994026281e-05,False
0.15,15.999987602233887,-10.6875,2.2827996872365475e-05,False
0.15,15.999990463256836,-7.375,0.000626334105618298,False
0.15,15.999995231628418,6.6875,0.9987550973892212,True
0.15,15.999991416931152,-9.375,8.481103577651083e-05,False
0.15,15.999990463256836,-10.0625,4.2647468944778666e-05,False
0.15,15.99998950958252,-8.5,0.00020342698553577065,False
0.15,15.999988555908203,-8.0625,0.0003150386910419911,False
0.15,15.999987602233887,-10.0,4.539786823443137e-05,False
0.15,15.99998664855957,-10.0,4.539786823443137e-05,False
0.15,15.99998950958252,-7.9375,0.0003569706459529698,False
0.15,15.999985694885254,-7.96875,0.00034599160426296294,False
0.15,15.999993324279785,-10.0,4.539786823443137e-05,False
0.15,15.999990463256836,-9.75,5.829126530443318e-05,False
0.15,15.99998950958252,-10.0,4.539786823443137e-05,False
0.15,15.999988555908203,-8.75,0.00015843621804378927,False
0.15,15.99998664855957,-10.25,3.535625000949949e-05,False
0.15,15.99998664855957,-10.625,2.4300241420860402e-05,False
0.15,15.999991416931152,-9.75,5.829126530443318e-05,False
0.15,15.99999713897705,6.71875,0.998793363571167,True
0.15,15.999992370605469,-9.6875,6.205049430718645e-05,False
